OBJECTID,src_FID,nbr_FID
531,91,93
532,91,96
533,92,19
534,92,87
535,92,88
536,92,95
537,92,134
538,92,141
539,93,17
540,93,29
541,93,33
542,93,85
543,93,91
544,94,18
545,94,21
546,94,22
547,94,84
548,94,87
549,94,90
550,94,95
551,95,18
552,95,19
553,95,20
554,95,21
555,95,84
556,95,87
557,95,92
558,95,94
559,96,15
560,96,19
561,96,88
562,96,89
563,96,91
564,97,36
565,97,44
566,97,114
567,97,120
568,97,148
569,98,109
570,98,118
571,98,129
572,98,131
573,99,105
574,99,111
575,99,116
576,99,119
577,99,121
578,100,106
579,100,112
580,100,115
581,100,116
582,101,106
583,101,112
584,101,113
585,102,106
586,102,111
587,102,116
588,102,117
589,102,120
590,103,50
591,103,107
592,103,108
593,103,114
594,103,117
595,104,108
596,104,113
597,104,117
598,105,99
599,105,109
600,105,116
601,105,119
602,106,100
603,106,101
604,106,102
605,106,112
606,106,113
607,106,116
608,106,117
609,107,103
610,107,114
611,107,117
612,107,120
613,108,50
614,108,103
615,108,104
616,108,117
617,109,98
618,109,105
619,109,118
620,109,119
621,110,86
622,110,118
623,110,119
624,110,128
625,110,142
626,111,99
627,111,102
628,111,116
629,111,120
630,111,121
631,112,100
632,112,101
633,112,106
634,113,101
635,113,104
636,113,106
637,113,117
638,114,36
639,114,46
640,114,50
641,114,97
642,114,103
643,114,107
644,114,120
645,115,100
646,115,116
647,116,99
648,116,100
649,116,102
650,116,105
651,116,106
652,116,111
653,116,115
654,117,102
655,117,103
656,117,104
657,117,106
658,117,107
659,117,108
660,117,113
661,117,120
662,118,98
663,118,109
664,118,110
665,118,119
666,118,128
667,118,131
668,119,99
669,119,105
670,119,109
671,119,110
672,119,118
673,119,121
674,119,142
675,119,147
676,120,97
677,120,102
678,120,107
679,120,111
680,120,114
681,120,117
682,120,121
683,120,148
684,121,99
685,121,111
686,121,119
687,121,120
688,121,140
689,121,144
690,121,147
691,121,148
692,122,125
693,122,127
694,122,129
695,122,130
696,123,60
697,123,64
698,123,83
699,123,86
700,123,126
701,123,130
702,124,125
703,124,126
704,124,128
705,124,130
706,124,131
707,125,122
708,125,124
709,125,129
710,125,130
711,125,131
712,126,86
713,126,123
714,126,124
715,126,128
716,126,130
717,127,59
718,127,62
719,127,122
720,127,130
721,128,86
722,128,110
723,128,118
724,128,124
725,128,126
726,128,131
727,129,98
728,129,122
729,129,125
730,129,131
731,130,59
732,130,64
733,130,122
734,130,123
735,130,124
736,130,125
737,130,126
738,130,127
739,131,98
740,131,118
741,131,124
742,131,125
743,131,128
744,131,129
745,132,137
746,132,140
747,132,141
748,132,144
749,132,146
750,133,32
751,133,41
752,133,44
753,133,136
754,133,139
755,133,140
756,133,143
757,133,146
758,133,148
759,134,87
760,134,92
761,134,137
762,134,141
763,135,84
764,135,87
765,135,90
766,135,137
767,135,138
768,135,145
769,136,30
770,136,40
771,136,133
772,136,141
773,136,143
774,136,146
775,137,87
776,137,132
777,137,134
778,137,135
779,137,141
780,137,144
781,137,145
782,138,86
783,138,90
784,138,135
785,138,142
786,138,145
787,139,32
788,139,34
789,139,38
790,139,40
791,139,41
792,139,133
793,139,143
794,140,121
795,140,132
796,140,133
797,140,144
798,140,146
799,140,148
800,141,30
801,141,88
802,141,92
803,141,132
804,141,134
805,141,136
806,141,137
807,141,146
808,142,86
809,142,110
810,142,119
811,142,138
812,142,145
813,142,147
814,143,30
815,143,38
816,143,40
817,143,133
818,143,136
819,143,139
820,144,121
821,144,132
822,144,137
823,144,140
824,144,145
825,144,147
826,145,135
827,145,137
828,145,138
829,145,142
830,145,144
831,145,147
832,146,132
833,146,133
834,146,136
835,146,140
836,146,141
837,146,148
838,147,119
839,147,121
840,147,142
841,147,144
842,147,145
843,148,44
844,148,97
845,148,120
846,148,121
847,148,133
848,148,140
849,148,146
850,149,3
851,149,16
852,149,152
853,149,159
854,149,160
855,149,161
856,150,58
857,150,61
858,150,63
859,150,67
860,150,153
861,150,154
862,150,155
863,150,161
864,151,14
865,151,16
866,151,25
867,151,61
868,151,71
869,151,155
870,151,161
871,152,72
872,152,76
873,152,79
874,152,82
875,152,149
876,152,158
877,152,159
878,152,161
879,153,150
880,153,154
881,153,156
882,153,158
883,153,161
884,154,150
885,154,153
886,155,61
887,155,150
888,155,151
889,155,161
890,156,72
891,156,153
892,156,158
893,157,8
894,157,45
895,157,48
896,157,49
897,157,74
898,157,78
899,157,159
900,157,160
901,158,72
902,158,152
903,158,153
904,158,156
905,158,161
906,159,74
907,159,82
908,159,149
909,159,152
910,159,157
911,159,160
912,160,3
913,160,8
914,160,149
915,160,157
916,160,159
917,161,16
918,161,149
919,161,150
920,161,151
921,161,152
922,161,153
923,161,155
924,161,158
