,Unnamed: 0,ZoneID,Zonname,District,Area,poptotalD,less14D,less64D,more64D,localpopD,ParkD,IndustrialD,TransportationD,ResidenceD,CommercialD,PublicD,POID,Diversity,PGDP,Aprice,RoadDensity,Residential ratio,Commercial ratio,Industrial ratio,Distance to city center
0,0,0,双水碾街道,成华区,4.24055,14232.11612,1746.471566,11637.16971,848.4748440999999,4030.845055,0.235818467,0.471636934,5.659643207,31.3638561,179.6936718,33.01458537,244.0721133,0.701789532,10.24434408,14124,6.9626012610000005,0.1285024154375607,0.7362318839724653,0.0019323671501147,7505
1,1,1,二仙桥街道,成华区,3.79225,15260.597269999998,958.5338519,13047.3993,1254.664118,8317.225921,1.318478476,1.582174171,3.955435428,10.02043642,84.11892676,17.66761158,111.8069748,0.856458753,10.24434408,14448,3.0074235660000004,0.0896226415026837,0.7523584902504669,0.0141509433899825,10236
2,2,2,猛追湾街道,成华区,2.40604,29137.91957,2072.700371,22868.69711,4196.522086,17732.04103,0.8312413759999999,0.4156206879999999,12.05299995,89.77406859,551.9442736000001,96.00837891,737.7267211,0.665133028,10.24434408,14566,9.517144859,0.1216901408371664,0.7481690140991697,0.0005633802817665,5868
3,3,3,青龙街道,成华区,22.5797,7284.374903,933.2276337,5954.064934,397.082335,2330.943281,0.177150272,1.550064881,4.915920052,5.801671412999999,93.44676856,9.300389288,108.5488293,0.728466508,10.24434408,14881,4.273801361,0.0534475724004883,0.8608731127052329,0.0142798857527614,11812
4,4,4,双桥子街道,成华区,1.32241,58636.12647,4522.046869,44640.46703,9473.612571,41861.44993,0.7561951290000001,0.0,9.074341543,82.42526902,522.5308339,89.23102517,694.187128,0.7149958040000001,10.24434408,14543,8.313304897,0.1187363834553843,0.7527233116601377,0.0,5309
5,5,5,建设路街道,成华区,2.6836900000000004,23831.36651,1853.418241,18858.362930000003,3119.585347,13952.431169999998,0.7452425579999999,0.0,8.942910694,34.28115766,336.4770149,51.42173649,422.179909,0.71807605,10.24434408,20147,7.234322811,0.0812003530466439,0.7969991175018231,0.0,7748
6,6,6,府青路街道,成华区,3.62049,12383.40667,1232.70607,9788.177843,1362.522752,6726.437582,0.2762057069999999,1.104822828,8.838582622999999,34.80191908,207.4304859,32.03986201,274.272267,0.7265866059999999,10.24434408,17474,9.518404455,0.126888217538961,0.7562940583416697,0.0040281973824207,7106
7,7,7,新鸿路街道,成华区,1.36516,45172.72701,3549.76706,35820.70966,5802.250286,28638.401360000003,2.93005948,0.73251487,13.18526766,65.9263383,454.89173430000005,87.90178441,608.719857,0.726686042,10.24434408,16204,9.681206808,0.1083032490921353,0.7472924187850176,0.001203369434357,6064
8,8,8,龙潭街道,成华区,36.5826,1852.738734,247.82273540000003,1456.867473,148.04852580000002,1314.969412,0.3006893989999999,0.738055797,3.5536019860000003,2.296173591,14.73378054,4.619682581,21.64963671,0.933972833,10.24434408,12635,4.386701337,0.1060606060858007,0.6805555556132933,0.0340909090940584,17626
9,9,9,桃蹊路街道,成华区,2.8545700000000003,31215.559610000004,3668.153172,24610.71195,2936.694493,18413.28116,0.350315459,0.700630918,12.61135653,79.52160921,373.0859639,63.40709809,516.0146712000001,0.69314253,10.24434408,15634,6.078612274,0.1541072640920679,0.723014256614803,0.0013577732516222,7726
10,10,10,万年场街道,成华区,5.48878,13931.51119,1451.688718,11383.03958,1096.782892,7027.60905,1.4575187930000002,0.364379698,7.469783813999999,24.59562963,91.2771144,18.94774431,134.82048830000002,0.828720377,10.24434408,19803,4.131245989,0.1824324324895654,0.67702702720444,0.0027027027019008,8550
11,11,11,跳蹬河街道,成华区,3.86175,9772.253512,938.9525474,7699.359098999999,1133.941866,5348.870331,1.035799832,1.553699748,7.250598822000001,17.34964718,93.99883473,19.42124684,130.7697287,0.862460828,10.24434408,17383,6.233139031,0.1326732673721606,0.7188118814992999,0.0118811881269889,7804
12,12,12,保和街道,成华区,10.5814,4752.301208,579.4129321,3917.534542,255.3537339,1862.04094,0.378021812,1.228570889,6.142854442999999,7.087908972,34.77800669,8.883512579,50.74942824,0.910515305,10.24434408,17050,8.416163427,0.1396648044679527,0.6852886406036088,0.0242085661180249,10865
13,13,13,圣灯街道,成华区,6.417009999999999,2586.874572,328.8135752,2065.915434,192.1455631,1726.349188,0.311671635,0.935014906,2.181701447,2.181701447,9.661820692,4.675074528000001,16.51859667,0.971375074,10.24434408,15236,3.589032605,0.1320754716992554,0.5849056602699896,0.0566037735940434,10217
14,14,14,凤凰山街道,金牛区,6.69543,742.8947805,123.5170855,581.7400824,37.63761252,152.34271730000003,0.29871121,0.149355605,2.0909784730000003,0.597422421,2.389689684,1.045489237,4.032601342,0.8693881729999999,12.48922896,16824,5.6352552110000005,0.1481481481389637,0.5925925925558551,0.0370370369727462,12954
15,15,15,人民北路街道,金牛区,2.6541,29048.26495,2409.856449,22406.84224,4231.566256,18053.20071,1.507102219,0.376775555,5.651633322,50.48792434,591.9143966,98.3384198,740.7407407000001,0.605159534,12.48922896,15653,5.418206098,0.0681586978627487,0.7990844354539496,0.0005086469992779,3674
16,16,16,天回镇街道,金牛区,33.167,2567.612386,261.4647089,2122.4108300000003,183.7368469,1156.601441,0.090451352,1.59797389,2.080381102,1.1758675790000002,23.00479392,5.879337896,30.0599994,0.847003175,12.48922896,11445,4.067274712,0.0391173520449238,0.765295887530856,0.0531594784396436,15325
